start_station_name,member_rides,casual_rides,total_rides,casual_share
Clark St & Drummond Pl,9779.0,2997.0,12776.0,0.23458046336881652
Mies van der Rohe Way & Chicago Ave,9178.0,3470.0,12648.0,0.2743516761543327
Wabash Ave & 9th St,10046.0,2561.0,12607.0,0.20314111208059016
Larrabee St & Webster Ave,9646.0,2937.0,12583.0,0.23341015656043868
Southport Ave & Roscoe St,10165.0,2372.0,12537.0,0.18919996809444045
Lake Shore Dr & Wellington Ave,7974.0,4405.0,12379.0,0.3558445754907505
Sheridan Rd & Irving Park Rd,10829.0,1543.0,12372.0,0.12471710313611381
Broadway & Cornelia Ave,9326.0,2938.0,12264.0,0.23956294846705806
Sheffield Ave & Wellington Ave,10151.0,2068.0,12219.0,0.16924461903592766
Aberdeen St & Jackson Blvd,10878.0,1262.0,12140.0,0.10395387149917627
Sheffield Ave & Waveland Ave,7780.0,4351.0,12131.0,0.35866787569038
Clark St & Ida B Wells Dr,11189.0,938.0,12127.0,0.07734806629834254
Sheffield Ave & Webster Ave,9925.0,2149.0,12074.0,0.17798575451383136
Dearborn St & Adams St,10300.0,1736.0,12036.0,0.14423396477234962
Lake Shore Dr & Diversey Pkwy,7331.0,4698.0,12029.0,0.3905561559564386
Clinton St & Jackson Blvd,10853.0,1144.0,11997.0,0.09535717262648996
Federal St & Polk St,9968.0,2012.0,11980.0,0.1679465776293823
Pine Grove Ave & Waveland Ave,9075.0,2878.0,11953.0,0.24077637413201708
Wabash Ave & Wacker Pl,7732.0,4208.0,11940.0,0.352428810720268
Sedgwick St & Webster Ave,9404.0,2521.0,11925.0,0.21140461215932915
University Ave & 57th St,10353.0,1558.0,11911.0,0.13080345898749055
Sheffield Ave & Kingsbury St,10184.0,1598.0,11782.0,0.13563062298421322
LaSalle St & Washington St,10157.0,1401.0,11558.0,0.12121474303512718
Desplaines St & Randolph St,9806.0,1726.0,11532.0,0.1496704821366632
Wabash Ave & Adams St,9379.0,2133.0,11512.0,0.18528492008339123
State St & Pearson St,9305.0,2120.0,11425.0,0.18555798687089717
Michigan Ave & Madison St,8360.0,2886.0,11246.0,0.25662457762760094
Clark St & Wellington Ave,9099.0,2067.0,11166.0,0.18511552928533045
State St & Van Buren St,8837.0,2208.0,11045.0,0.1999094612947035
Rush St & Hubbard St,9544.0,1485.0,11029.0,0.13464502674766524
Southport Ave & Waveland Ave,8399.0,2504.0,10903.0,0.22966156103824636
Michigan Ave & Pearson St,5564.0,5333.0,10897.0,0.48940075250068826
Stockton Dr & Wrightwood Ave,7450.0,3445.0,10895.0,0.31620009178522257
Halsted St & Roscoe St,8179.0,2578.0,10757.0,0.23965789718322952
Broadway & Belmont Ave,8070.0,2677.0,10747.0,0.24909277007536987
Broadway & Waveland Ave,8782.0,1918.0,10700.0,0.17925233644859814
Burnham Harbor,7267.0,3391.0,10658.0,0.3181647588665791
Canal St & Jackson Blvd,9314.0,1241.0,10555.0,0.11757460918995737
Halsted St & Dickens Ave,8452.0,1992.0,10444.0,0.19073152049023362
Aberdeen St & Randolph St,8738.0,1690.0,10428.0,0.16206367472190256
Field Blvd & South Water St,7311.0,3047.0,10358.0,0.29416875844757673
