member_casual,duration_scope,rides,excluded_rides,excluded_share,mean_duration_min,median_duration_min,p90_duration_min,p95_duration_min,p99_duration_min
member,<=2h,2933497,3870,0.0013175064607180431,12.498748615494772,9.783333778381348,24.78333282470703,30.96666717529297,43.516666412353516
member,<=24h,2936866,501,0.00017056091390688088,12.932010772934586,9.800000190734863,24.883333206176758,31.149999618530273,44.46666717529297
casual,<=2h,841968,38669,0.043910260413768665,31.797269431780673,24.866666793823242,67.06666564941406,85.16666412353516,110.41666412353516
casual,<=24h,879289,1348,0.0015307101563981629,39.42908387664408,25.799999237060547,80.76667022705078,112.28333282470703,189.78334045410156
